lambda,w_l,mses3_train,mses3
0.62,"[[150.55920215228687], [19.52333424620566], [-65.39724530452696], [236.56586984303433], [160.96807401997185], [5.336740643237217], [-30.95079563590489], [-130.37540940778396], [111.77469645001942], [256.2291749744789], [127.22375466660748], [41.06442083778998], [64.32528555068131], [38.54070579977495], [11.327649756229253], [-22.194850053693116], [5.741746175029802], [32.919804851725026], [-16.11870792827542], [34.68370564983908], [55.02105964043973], [-2.5234527368490163], [47.20392137638967], [-30.889936312619675], [-57.84848221096826], [7.89819531700839], [2.3860355131634257], [40.643466906349474], [27.977942985862533], [10.816026644439509], [34.42044649847748], [27.570132817378237], [0.009631581383878096], [44.97839917127421], [5.456058733797759], [24.011051775464217], [-17.61319804904495], [48.309430465552055], [-21.906998747215365], [-7.439553524321058], [-24.37446399823511], [10.177984450730802], [-6.310410462361154], [49.652178948478145], [-29.339420559046765], [-34.25522467167647], [12.41229356163036], [-10.372139520287547], [5.612441997213075], [0.4303480838011353], [-4.953199398211135], [48.47250823380732], [-32.16243320131851], [-1.357072101287815], [9.6686316410037], [29.48016615910926], [-15.360871531337288], [3.34055410711178], [7.647793644180201], [-23.31450576659443], [32.120906616375855], [-18.65272115917383], [-18.383490632988405], [44.39768916280008], [23.81624083692925]]",3023.1526675742202,3252.6950874626705
0.63,"[[150.55001233133027], [19.623197956093914], [-64.42060362630559], [234.9746199138631], [159.97329319937165], [5.6443446247532965], [-30.25812612056426], [-129.79500730191003], [111.4129379318848], [254.40944517724088], [126.81649410253877], [40.60606837380253], [64.10616106820144], [38.51481894552646], [11.271410381266485], [-21.921539762150168], [5.611865973386399], [32.66818132159667], [-15.975925908051096], [34.65110211122336], [54.53880132114324], [-2.482082010251334], [46.905631945130054], [-30.734043543511312], [-57.434060377061094], [7.5882832358360615], [2.3142354118058464], [40.29314469578771], [27.84418039699924], [10.752174575140623], [34.0712842916195], [27.298644445633002], [0.01918695024728656], [44.55871985915234], [5.4348468390439155], [23.846141994968388], [-17.419566986793374], [47.95195068073658], [-21.942324545179186], [-7.702015429148626], [-24.29108820400601], [10.178830720947953], [-6.190071416620649], [49.5399399807837], [-29.188555114460065], [-34.18437558633157], [12.287368100119927], [-10.46992811677226], [5.558056563389611], [0.7056412834328372], [-4.930198414576366], [48.056442832241416], [-31.80598678834802], [-1.3541273445808528], [9.62696781444219], [29.382354807847125], [-15.288739130506698], [2.8731473647670076], [7.505818432577243], [-23.09549587308826], [31.90143423227784], [-18.732401478829214], [-18.155349099319807], [44.18835615344687], [23.77608234468358]]",3031.066127065869,3260.3639429717714
0.64,"[[150.54077773933471], [19.7199750013823], [-63.46481782113217], [233.40910355960546], [158.9940925904325], [5.94369997498456], [-29.580993631570127], [-129.22026889521865], [111.05344274766755], [252.62058649833463], [126.40951002555012], [40.1554248554844], [63.88456870007164], [38.48483500826798], [11.215078557595412], [-21.654171241380258], [5.4840119157312035], [32.42252170817729], [-15.834737799166483], [34.618201112186604], [54.06485944001642], [-2.442080495658699], [46.610607346651754], [-30.58158266336214], [-57.0278532056667], [7.287086150753369], [2.2450457685370817], [39.94859948572721], [27.71154066727971], [10.690100182096323], [33.729658554892396], [27.031791223975535], [0.027197056465737557], [44.147292269791734], [5.413447242875829], [23.682750636818675], [-17.2291159792161], [47.60161245018662], [-21.974923980323837], [-7.9555847244546065], [-24.20788952345022], [10.177871609604821], [-6.072060121944314], [49.426388520941806], [-29.041094091781954], [-34.11269223120054], [12.16482794260508], [-10.562802929197918], [5.5051740304029], [0.9732055504129811], [-4.906652436969386], [47.64785999406116], [-31.458056759775513], [-1.353366667684373], [9.584812246843146], [29.28432106030123], [-15.216323114039424], [2.4214703036046625], [7.367397945402393], [-22.881100132339462], [31.683950481642512], [-18.80870629047638], [-17.933586598595614], [43.98215665376161], [23.73682577430588]]",3038.9242241631196,3268.0088855250374
0.65,"[[150.53150129469344], [19.813749668428766], [-62.52926922024042], [231.86861858235918], [158.03004360528467], [6.235072840219937], [-28.918938137068285], [-128.6511081721543], [110.69618194722666], [250.86172233453522], [126.00292984757847], [39.712312666095855], [63.660776304414334], [38.45098341963418], [11.158697410909912], [-21.39255474249836], [5.358182892253033], [32.18258720638224], [-15.69515640918658], [34.58498330684428], [53.59901147381194], [-2.4034031851828708], [46.318800813112794], [-30.432423708675707], [-56.62959971613497], [6.994277892384502], [2.178313388316165], [39.609679771902506], [27.580009055029706], [10.629710614738203], [33.395317519000606], [26.769455741872207], [0.03376442475098318], [43.74385784415921], [5.391883041073088], [23.520892446733637], [-17.041783175627618], [47.258144997005815], [-22.0049049638963], [-8.200619053804724], [-24.124880330887958], [10.175218096459586], [-5.956334087343682], [49.31163162399882], [-28.89687977419769], [-34.04023664495628], [12.044581876305873], [-10.650992091539425], [5.453729286944531], [1.2333086531991135], [-4.8826252059506485], [47.24654252880683], [-31.118313383743832], [-1.354609425544428], [9.542236864763098], [29.18611118330351], [-15.143685287217288], [1.9848508105225195], [7.232415354956482], [-22.671179622046257], [31.46847138107388], [-18.881774885113764], [-17.717915761238714], [43.77899989993386], [23.69839211074659]]",3046.727597758222,3275.629487795217
0.66,"[[150.52218574924754], [19.90460354911292], [-61.61336324928443], [230.35249022391136], [157.0807347793294], [6.518718318505062], [-28.271517085952738], [-128.08744052569284], [110.34112799459186], [249.13201161196713], [125.59687194192003], [39.276559238708295], [63.43503279303349], [38.41348057834371], [11.1023064186238], [-21.1365086189438], [5.234374012335158], [31.948152125379355], [-15.557190436298907], [34.55143234285162], [53.14104306554071], [-2.3660067612208735], [46.03016625203927], [-30.28644313284207], [-56.23905012035014], [6.7095487518997885], [2.113896019996395], [39.276239648101495], [27.44957121408199], [10.570918976627421], [33.068020755682596], [26.511524906112612], [0.03898488323873406], [43.34816925869394], [5.370175873869866], [23.360578830809544], [-16.857507530096722], [46.92129251935895], [-22.032370786026807], [-8.437457602127438], [-24.042072726790057], [10.170973959686872], [-5.842850699706215], [49.195769540083724], [-28.75576425923483], [-33.9670671825222], [11.92654457169938], [-10.734711088804005], [5.403660803030823], [1.4862062930123772], [-4.858175121496051], [46.85228227232108], [-30.786444738365184], [-1.3576890225746014], [9.499307545138137], [29.08776836270812], [-15.07088254722122], [1.5626536587324704], [7.100758803369526], [-22.465600702619916], [31.255008846218626], [-18.95173900883977], [-17.508066580770958], [43.578798967626796], [23.660708791116306]]",3054.476878980241,3283.225355157768
0.67,"[[150.51283369943704], [19.992615644256738], [-60.71652824711266], [228.86006976398605], [156.14577087664148], [6.794881042320365], [-27.638304585677325], [-127.52918277261008], [109.98825463730665], [247.4306468970193], [125.19144626349406], [38.847996898811054], [63.207569545910545], [38.37253069525507], [11.04594171230595], [-20.88585888808734], [5.112577063840933], [31.719002981933322], [-15.420844939359801], [34.51753455862536], [52.690747645588445], [-2.3298495174110574], [45.744658243665214], [-30.1435234117165], [-55.855965211309965], [6.432604406757409], [2.05166146058849], [38.94813853937508], [27.32021317041151], [10.51364389112823], [32.74753853647284], [26.25788970997177], [0.04294804613047698], [42.95998980259066], [5.348346013904687], [23.201818182352927], [-16.67622885978866], [46.590813144175556], [-22.05742032912815], [-8.666422288175983], [-23.959478488166535], [10.165236318265059], [-5.731567351829538], [49.07889620303863], [-28.61760872352571], [-33.89323876616697], [11.810636083262969], [-10.814163608840499], [5.354910395222494], [1.7321427967951477], [-4.833355707951978], [46.46487958777276], [-30.4621554848044], [-1.3624517323356127], [9.45608463137636], [28.98933291809975], [-14.997967275781818], [1.154278000525009], [6.972321132747862], [-22.264234782953793], [31.043571110333083], [-19.01872338135539], [-17.303785127476424], [43.38147055831212], [23.623709156460244]]",3062.17269114309,3290.796123763242
0.68,"[[150.50344759656616], [20.07786246225396], [-59.83821435523393], [227.3907332068904], [155.22477205296946], [7.063795723023304], [-27.01889062661371], [-126.97625316220969], [109.637536789262], [245.75685263256844], [124.78675492252168], [38.42646271114196], [62.97860170797762], [38.3283265754245], [10.989636352805618], [-20.640438821871427], [4.9927809226498], [31.4949376689587], [-15.286121756674472], [34.48327871060902], [52.2479260738347], [-2.2948912845209843], [45.462232037806885], [-30.003552678891523], [-55.48011579306613], [6.16316493276366], [1.9914867423954408], [38.62524095067008], [27.19192130075014], [10.45780910255161], [32.43365123511526], [26.008445019659128], [0.045737757073348595], [42.5790927967555], [5.326412448736251], [23.04461617779525], [-16.49788789288104], [46.266477967234295], [-22.08014827192069], [-8.887818863703842], [-23.877109029616683], [10.158096126848555], [-5.6224415537184935], [48.96109967844769], [-28.48228275160453], [-33.818803116362474], [11.696781399538617], [-10.889542325413725], [5.307423009646152], [1.97135176102549], [-4.808216034643191], [46.08414290151245], [-30.145165742304783], [-1.3687556271915486], [9.412623401481945], [28.89084250052882], [-14.924987697385756], [0.759155063807671], [6.846999633730395], [-22.06695809707371], [30.834163101368336], [-19.08284617154881], [-17.10483237377354], [43.18693480068048], [23.587331954482547]]",3069.8156497051673,3298.341458730406
0.6900000000000001,"[[150.49402975626603], [20.160418113180217], [-58.97789247292603], [225.9438800499512], [154.31737307193143], [7.325687660103183], [-26.412880349847622], [-126.42857137945701], [109.28895042553775], [244.1098834894894], [124.38289271550602], [38.01179833077124], [62.7483293791368], [38.28105034251169], [10.933420580798376], [-20.400088564189335], [4.874971918029306], [31.27576469203105], [-15.153019879399707], [34.44865572742009], [51.812386301440924], [-2.2610933608531276], [45.182843550274924], [-29.86642438797673], [-55.111282148636995], [5.900963894251828], [1.933257394429857], [38.30741622984949], [27.064682312988683], [10.403343109554474], [32.126148770150124], [25.763089376387242], [0.047432496878990094], [42.205261051195265], [5.304392958264467], [22.888976044794276], [-16.32242630735163], [45.94807017147995], [-22.10064528428115], [-9.101937927939286], [-23.79497537340784], [10.14963862789606], [-5.515431029070567], [48.8424625749161], [-28.34966372238031], [-33.74380896430506], [11.584910037082519], [-10.961029619056195], [5.261146521289538], [2.204056650559587], [-4.782801096805697], [45.709888270816975], [-29.835210055304522], [-1.376469606559037], [9.368974493133914], [28.792332274799897], [-14.851988206389827], [0.3767460331698733], [6.724695810910063], [-21.873651491278963], [30.626786781950443], [-19.144219434282082], [-16.91098312022378], [42.995115065810836], [23.55152088798805]]",3077.4063622403305,3305.861052451689
0.7000000000000001,"[[150.4845823672262], [20.240354398631986], [-58.13505327336952], [224.51893212769608], [153.42322257038384], [7.580773218012697], [-25.819893355545737], [-125.88605854334338], [108.94247248794964], [242.48902282436813], [123.97994761704432], [37.60384985844368], [62.51693870735936], [38.23087411036562], [10.877322045185068], [-20.16465477292063], [4.75913415874976], [31.061302467398438], [-15.021535784734112], [34.41365848808868], [51.38394305106958], [-2.2284184467980985], [44.906449358841805], [-29.73203699948331], [-54.7492535428296], [5.6457475050863595], [1.8768667705136615], [37.99453834414366], [26.938483228198052], [10.350178827904012], [31.824830084509152], [25.52172481258007], [0.048105758815485844], [41.838286357885764], [5.2823041873755585], [22.734898805286523], [-16.14978676177925], [45.63538421628654], [-22.11899821315605], [-9.309055865034072], [-23.713088127188257], [10.139943765289699], [-5.410493798651854], [48.72306242203316], [-28.21963624763765], [-33.66830224780189], [11.47495567352738], [-11.028798241497679], [5.216031548188579], [2.4304713562632294], [-4.757152160973423], [45.34193898086183], [-29.53203644387796], [-1.3854725136691073], [9.32518429008275], [28.69383508768895], [-14.779009666033692], [0.006540098295444885], [6.605315163732405], [-21.684200221358875], [30.421441456135128], [-19.202949512055298], [-16.722025012328903], [42.80593779492105], [23.516224204399677]]",3084.9454284199155,3313.3546230032393
0.71,"[[150.47510749926172], [20.317740897528573], [-57.309206276558726], [223.11533252625685], [152.54198236930426], [7.829260273080182], [-25.239563049245255], [-125.34863720118884], [108.59808080014248], [240.8935812351765], [123.57800123567898], [37.20246770016409], [62.28460289368907], [38.177960606172114], [10.821366011505495], [-19.933990284728615], [4.64524982427071], [30.851378675734725], [-14.891663733426627], [34.37828162190064], [50.96241751438258], [-2.196830583204669], [44.63300669877919], [-29.600293690163323], [-54.39382775720458], [5.397273853968586], [1.8222154373209039], [37.68648566914628], [26.81331136412061], [10.298253279992833], [31.529502659242468], [25.284256680902942], [0.04782639437699254], [41.477969016418626], [5.26016171410939], [22.582383495960958], [-15.979912919161931], [45.328225091140986], [-22.135290259816518], [-9.5094357113639], [-23.631457468140518], [10.129086563202968], [-5.307588252066568], [48.602972018102506], [-28.092091657537864], [-33.59232629203772], [11.366855815546042], [-11.093011928854631], [5.172031279255197], [2.6508007148244506], [-4.731307078474893], [44.98012516852683], [-29.235405529673574], [-1.3956523319015544], [9.281295273745954], [28.59538162332032], [-14.70608968202645], [-0.351947345638449], [6.488766981619111], [-21.498493759474236], [30.218124046374374], [-19.259137404825285], [-16.537757639353305], [42.619332338642806], [23.48139432222993]]",3092.433440005276,3320.82191265256
0.72,"[[150.46560711077387], [20.392645048096757], [-56.49987897509622], [221.73254456292725], [151.67332682683147], [8.071348632778585], [-24.671536023620888], [-124.81623131950352], [108.2557539912137], [239.32289520742077], [123.17712923670359], [36.80750643099361], [62.05148311708344], [38.122463749133004], [10.76557555229774], [-19.707953800898917], [4.533299424815676], [30.64582966648539], [-14.763396035583868], [34.34252132763932], [50.54763706574051], [-2.166295093266875], [44.362473457988685], [-29.471102082872747], [-54.044810654673256], [5.155312188213447], [1.769210616381978], [37.38314078953511], [26.689154319988674], [10.247507308756841], [31.239982058757136], [25.050593494955496], [0.04665893214609862], [41.124117389962166], [5.237980113632372], [22.43142736835828], [-15.812749464631695], [45.02640762789124], [-22.149601148749213], [-9.70332795885266], [-23.550093132555833], [10.117137473563865], [-5.206673209255707], [48.48225975039723], [-27.96692752863931], [-33.51592197658492], [11.26055149801105], [-11.153825968212445], [5.129101314610278], [2.865240993817319], [-4.705300570283402], [44.62428347086827], [-28.94508973036293], [-1.4069054527423948], [9.237346343448948], [28.49700054682009], [-14.633262853098463], [-0.6991763593360747], [6.3749641521857185], [-21.316425610281392], [30.01682934374645], [-19.31287911091382], [-16.357991707355716], [42.43523080686996], [23.446987490839646]]",3099.87098085042,3328.2626864570675
0.73,"[[150.456083055657], [20.465132226240122], [-55.70661600928135], [220.37005082623304], [150.8169422304081], [8.307230429422027], [-24.11547147346297], [-124.28876627194194], [107.91547142695889], [237.77632584394175], [122.77740173457813], [36.41882466300971], [61.81772938622854], [38.06452918828479], [10.709971721129827], [-19.48640959264508], [4.423262033707914], [30.444499908201657], [-14.636723288287133], [34.30637521026016], [50.139434991111976], [-2.1367785276604323], [44.09480817175055], [-29.3443739952233], [-53.70201577144987], [4.919642250775013], [1.717765674728117], [37.08439031075768], [26.565999962553736], [10.197885313866305], [30.95609150517755], [24.82064678058478], [0.0446638721050181], [40.77654748927759], [5.215773018275991], [22.282026070569326], [-15.648242117848746], [44.72975586630311], [-22.16200728849296], [-9.890971299868482], [-23.46900440995648], [10.104162695094749], [-5.107707972900696], [48.36098989041562], [-27.844047250432446], [-33.43912788987525], [11.155987011068845], [-11.211387721752407], [5.087199517393994], [3.0739803447939185], [-4.679164486100024], [44.27425669629765], [-28.660872516345812], [-1.4191360082996267], [9.193373108386014], [28.398718637247956], [-14.560561000662904], [-1.0355839948731491], [6.263822981529161], [-21.13789313588778], [29.817550234167697], [-19.36426594163101], [-16.18254827944812], [42.25356792832601], [23.41296348021927]]",3107.2586269140893,3335.676730947576
0.74,"[[150.44653708970102], [20.53526582048649], [-54.92897838819303], [219.02735227225375], [149.9725262252144], [8.537090490176794], [-23.57104064177293], [-123.7661688248133], [107.57721314793952], [236.2532576721561], [122.37888365737427], [36.03628491737009], [61.583481324761564], [38.004294802732716], [10.65457371184396], [-19.269227224450447], [4.315115494951918], [30.247241480732125], [-14.5116345881072], [34.26984213324378], [49.737650231253845], [-2.1082486126865465], [43.82997001711455], [-29.22002520545938], [-53.36526393429051], [4.690053665828269], [1.667799659437105], [36.790124680978494], [26.443836413209365], [10.149335008268286], [30.677661479646627], [24.594330936894597], [0.04189795751509795], [40.43508258272455], [5.193553173895181], [22.13417381230014], [-15.486337640756497], [44.438102468195645], [-22.172581924742374], [-10.072593318687618], [-23.388200141018764], [10.090224466591858], [-5.010652372781521], [48.23922286636647], [-27.723359626812286], [-33.36198047223016], [11.05310965223106], [-11.265837112151067], [5.046285876116962], [3.277199226923967], [-4.652928040232517], [43.92989351668903], [-28.38254772410191], [-1.432255262073002], [9.149408154043556], [28.30056091071526], [-14.488013379509953], [-1.3615857163914908], [6.1552630256576855], [-20.96279738922909], [29.62027790299886], [-19.413384811971987], [-16.01125807703993], [42.0742809190767], [23.379285297876784]]",3114.5969462808075,3343.0638528910004
0.75,"[[150.4369708765299], [20.60310730369047], [-54.16654275372446], [217.70396737328028], [149.13978727632448], [8.761106685109006], [-23.037926295030143], [-123.24836712055293], [107.24095981365832], [234.75309752306148], [121.98163508545439], [35.65975350041089], [61.34886889570492], [37.941891167283266], [10.599399004396613], [-19.056281294131626], [4.208836608702815], [30.053913605563434], [-14.388117721246545], [34.23292208506871], [49.3421271383005], [-2.0806742012026174], [43.56791880695971], [-29.097975234150002], [-53.034382901131444], [4.466345368696565], [1.6192368718532786], [36.50023802263356], [26.322652036112217], [10.10180719334376], [30.404529348573078], [24.371563106123023], [0.03841442629257141], [40.099552830363244], [5.171332492772634], [21.987863514887074], [-15.326983841303122], [44.15128817589591], [-22.181395286037127], [-10.24841113403087], [-23.307688718658504], [10.075381336825561], [-4.915466803014676], [48.117015514886546], [-27.604778509281232], [-33.28451414843671], [10.95186950091252], [-11.317307072602468], [5.00632237670316], [3.4750708034718967], [-4.626618026552434], [43.59104817880058], [-28.10991892116001], [-1.4461810523576082], [9.105481285532292], [28.20255073451085], [-14.415646871262918], [-1.6775767159763828], [6.0492069322202475], [-20.791042955472438], [29.4250020202051], [-19.460318509500976], [-15.843960836472398], [41.89730935929011], [23.345918930233474]]",3121.886499190192,3350.423878127147
0.76,"[[150.42738599311733], [20.66871630166108], [-53.418900684755904], [216.39943131520272], [148.3184441622216], [8.979450254842071], [-22.515822225829393], [-122.73529065950274], [106.90669265221096], [233.27527347682218], [121.58571156639758], [35.289100383704664], [61.114013070350346], [37.87744198619359], [10.544463498533048], [-18.8474511884262], [4.104401296970307], [29.864382210976046], [-14.266159333723387], [34.19561605840285], [48.952715244951214], [-2.0540252261437004], [43.30861498375097], [-28.978147140419374], [-52.70920702340916], [4.2483250763276175], [1.5720064777056744], [36.21462797298761], [26.202435427208012], [10.055255551099982], [30.13653901300117], [24.152263051644702], [0.034263243607348004], [39.769794940413014], [5.149122103292102], [21.843086947685325], [-15.170129573661388], [43.869161311172526], [-22.188514722362086], [-10.418631996740325], [-23.227478091731925], [10.059688413194937], [-4.822112252994777], [47.99442131379593], [-27.488222459005797], [-33.206761450757696], [10.852219213136657], [-11.36592396448144], [4.9672728834504625], [3.667761313189472], [-4.600259014565786], [43.257580233543365], [-27.842798818158535], [-1.4608372832572405], [9.061619750024], [28.104709932977965], [-14.343486162149409], [-1.983933133709209], [5.945580291768039], [-20.62253780105728], [29.231710907990767], [-19.50514594333164], [-15.680504716025315], [41.72259507761074], [23.312833106196337]]",3129.12783807403,3357.7566504746587
0.77,"[[150.41778393491342], [20.732150658870488], [-52.685658038875474], [215.11329524032294], [147.5082254975059], [9.192286119265438], [-22.004432781213723], [-122.22687028030609], [106.57439341484911], [231.81923387018531], [121.19116440801753], [34.924199087990345], [60.87902644633867], [37.81106449751185], [10.489781636412134], [-18.642620853004168], [4.001784751636832], [29.67851952901172], [-14.145745083730754], [34.157925940768365], [48.569269045502665], [-2.028272656451909], [43.05201961301919], [-28.860467331563672], [-52.38957692849179], [4.035808794900011], [1.5260421497463255], [35.93319553313028], [26.08317540408164], [10.009636451970177], [29.87354057942881], [23.93635304343351], [0.029491317282965168], [39.445651846474455], [5.12693239657997], [21.699834852108363], [-15.015724735418274], [43.59157731118233], [-22.194004836973335], [-10.58345384627734], [-23.14757577088452], [10.043197591047866], [-4.730550332771481], [47.87149059752211], [-27.373614435144457], [-33.12875313317925], [10.754113834382242], [-11.411807965369098], [4.929103028204096], [3.8554304185231816], [-4.573873528416839], [42.929354281760446], [-27.581008723921], [-1.4761534588108152], [9.017848440252479], [28.00705888581671], [-14.2715539064888], [-2.2810131900082777], [5.84431149784987], [-20.457193130002207], [29.040391692627942], [-19.54794237491766], [-15.520745748789194], [41.55008204257117], [23.279999080824794]]",3136.32150760048,3365.062030701684
0.78,"[[150.40816612061383], [20.793466501391826], [-51.96643432924485], [213.84512553252557], [146.70886928279512], [9.399773168614713], [-21.503472415146085], [-121.72303813917786], [106.24404433495138], [230.3844463613806], [120.798040951147], [34.564926570889334], [60.64401381922083], [37.74286985027514], [10.435366515178925], [-18.441678575892333], [3.900961566642512], [29.49620372154462], [-14.026859778065457], [34.11985441555984], [48.19164778802343], [-2.003388455250402], [42.79809437658942], [-28.74486538500412], [-52.07533922078557], [3.8286203614664664], [1.4812817398815143], [35.65584492488834], [25.96486099655867], [9.964908776921156], [29.615390050543635], [23.723757750385055], [0.024142697420490355], [39.12697240404747], [5.104773070311428], [21.55809705446844], [-14.863720262147229], [43.31839829829297], [-22.197927611762434], [-10.743065829374943], [-23.067988836149624], [10.02595776538929], [-4.640743293511559], [47.748270756664766], [-27.260881507121574], [-33.050518277622004], [10.657510628770016], [-11.455073429900633], [4.891780107100017], [4.0382315323604265], [-4.547482210450643], [42.60623973529692], [-27.324378039878788], [-1.4920642562020197], [8.974190080840176], [27.90961661942422], [-14.199870877157203], [-2.569158237589652], [5.745331615304158], [-20.294923247116266], [28.85103044201836], [-19.58877963220133], [-15.364547337346144], [41.37971626052176], [23.24739043722033]]",3143.46804472479,3372.339895557084
0.79,"[[150.39853389660186], [20.852718297205488], [-51.260862134388866], [212.59450314199748], [145.9201224799843], [9.602064538134114], [-21.01266526367486], [-121.22372768828122], [105.91562809095774], [228.970397048508], [120.4063848237363], [34.21116311831394], [60.40907271139411], [37.67296345662531], [10.381229990389562], [-18.24451678338791], [3.801905855985066], [29.31731853300874], [-13.909487494304024], [34.08140487241337], [47.81971527701193], [-1.9793455401147124], [42.546801565585184], [-28.6312738816282], [-51.76634620020145], [3.6265910168477404], [1.4376669780845592], [35.382483455168995], [25.847481437990204], [9.921033752694626], [29.36194903446659], [23.514404138960987], [0.01825876153791195], [38.8136111049978], [5.082653169856357], [21.41786256865197], [-14.71406811972997], [43.04949268094764], [-22.200342526467054], [-10.897648783865613], [-22.9887239459544], [10.008015026519711], [-4.552654043620485], [47.624806423032226], [-27.149954588755566], [-32.972084392771585], [10.562368922982333], [-11.49582922565848], [4.855272984292311], [4.216312124897273], [-4.52110397079183], [42.288110592246994], [-27.07274379051929], [-1.50850913444226], [8.930665399033114], [27.812400891830983], [-14.128456104169848], [-2.848693739684492], [5.648574256162349], [-20.135645427771685], [28.663612290364576], [-19.627726308520252], [-15.211779786607487], [41.211445679598675], [23.214982904961243]]",3150.5679787460667,3379.590136858315
0.8,"[[150.38888854108822], [20.909958914004797], [-50.568586538852244], [211.36102294689223], [145.14174061116518], [9.799307867435232], [-20.531744741443454], [-120.72887365340613], [105.58912777286203], [227.57658963774998], [120.01623617766926], [33.86279223947196], [60.17429386194153], [37.601445320738435], [10.327382771099433], [-18.051031847605554], [3.7045913589998443], [29.141752967572078], [-13.793611690219794], [34.042581326029776], [47.45333968592758], [-1.9561177453001477], [42.29810407323201], [-28.519628249650584], [-51.46245559677583], [3.4295590072397797], [1.395143195648538], [35.1130213872808], [25.73102615716168], [9.877974799102669], [29.11308447121111], [23.308221377662544], [0.011878386404019947], [38.50542780873048], [5.060581126934178], [21.279119689565313], [-14.566721294750586], [42.784734782999195], [-22.201306672016326], [-11.047375690433553], [-22.909787347243785], [9.989412841001695], [-4.466246161041689], [47.501139641358066], [-27.040768192351152], [-32.89347750612498], [10.468649963484168], [-11.534179046127655], [4.819552002127953], [4.389814012066923], [-4.494756124245732], [41.97484522536353], [-26.82595018686369], [-1.5254319752738876], [8.887293281263537], [27.715428271737654], [-14.057327002411355], [-3.1199301805229753], [5.553975462635244], [-19.97927979390477], [28.478121551186447], [-19.66484794753695], [-15.06231987151327], [41.04522009929833], [23.182754193573594]]",3157.621831369463,3386.8126606323176
0.81,"[[150.37923126797247], [20.965239674621948], [-49.8892646028132], [210.14429314953583], [144.3734873796488], [9.99164554557576], [-20.060453158290706], [-120.23841201112246], [105.26452685191161], [226.20254465803004], [119.62763190959639], [33.519700565370876], [59.93976168057928], [37.52841034629331], [10.273834507347994], [-17.861123904874816], [3.608991534232801], [28.969400988750277], [-13.679215301766423], [34.003388342641486], [47.09239337902046], [-1.933679785805083], [42.05196538748532], [-28.409866618208543], [-51.163530320337266], [3.237369212248126], [1.3536590705898521], [34.84737181881219], [25.61548477077139], [9.835697387408148], [28.868668375167484], [23.105140746900226], [0.00503810763155621], [38.20228748892655], [5.038564795933994], [21.14185607818977], [-14.421633783246754], [42.52400449918385], [-22.200874858305056], [-11.19241209478569], [-22.83118488647421], [9.970192219208501], [-4.381483902185947], [47.37731002878968], [-26.933260201052033], [-32.81472224979318], [10.376316785765994], [-11.570221702539762], [4.784588897279653], [4.558873626854195], [-4.468454515693611], [41.66632618269245], [-26.583848220260307], [-1.5427807533808267], [8.844090916821672], [27.618714212116444], [-13.986499489444148], [-3.3831639135384486], [5.4614735966868375], [-19.82574919593122], [28.294541819791743], [-19.700207215338178], [-14.916050436617692], [40.88099108525844], [23.150683839678894]]",3164.6301167733054,3394.007386306172
0.8200000000000001,"[[150.36956323044876], [21.01861041019271], [-49.22256485888205], [208.94393470495126], [143.61513431164005], [10.17921494280112], [-19.598541354772067], [-119.75227996555549], [104.9418091531871], [224.84779871901588], [119.24060586696613], [33.18177775072283], [59.705554668626675], [37.45394862406845], [10.220593870703299], [-17.67469668426391], [3.5150796430714752], [28.80016123964748], [-13.566280830810008], [33.96383097340067], [46.73675274192383], [-1.9120072231523206], [41.808349583504516], [-28.301929679969987], [-50.86943822420222], [3.049872797260891], [1.3131663932272573], [34.58545056567538], [25.500847076428535], [9.79416890889731], [28.628577592515313], [22.905095553850916], [-0.002227731993668769], [37.90405999478794], [5.016611488047255], [21.006058839007828], [-14.278760578069427], [42.26718697461679], [-22.199099716665845], [-11.332916502515266], [-22.75292202126638], [9.950391870591123], [-4.29833220789846], [47.253354923142126], [-26.827371657911083], [-32.73584194055088], [10.285334094464051], [-11.604051396269451], [4.750356722387603], [4.723622274701768], [-4.4422136350376], [41.36243999958224], [-26.346295284032674], [-1.5605072332702612], [8.801073929789094], [27.52227311879768], [-13.915988094238816], [-3.6386779522474195], [5.371009235753072], [-19.674979100273386], [28.112856066196514], [-19.73386406074197], [-14.772860024869786], [40.71871188888534], [23.118753066596078]]",3171.5933416806793,3401.1742459442903
